Title,People_Review,Selling_Price,Deliver_Charges,Seller_Rating,Shipping_Timing_Rating,Discount_Percentage,Original_Price,Chat_Responce_Rate
The Monk Who Sold His_Ferrari / Who Will Cry When You Die? /The Mastery Manual/ by Robin S. Sharma ( Combo Deal ),No Ratings,Rs. 950,Free,81%,100%,-79%,"Rs. 4,499",100%
"Baharon ke sang sang novel,Urdu Novel",1 Ratings,"Rs. 1,200",Free,93%,95%,-40%,"Rs. 2,000",97%
"Rich Dad, Poor Dad by Robert T. Kiyosaki",23 Ratings,Rs. 319,Rs. 119,86%,100%,-68%,Rs. 999,Not enough data
Raja Gidh Hurf se lafz tak (Pack of 2) Best selling Urdu Rading books,1 Ratings,Rs. 898,Rs. 99,74%,93%,-40%,"Rs. 1,500",97%
FAKEE A NOVEL BY ROBERT KIYOSAKI,No Ratings,Rs. 295,Free,81%,44%,-51%,Rs. 599,80%
Pack of 2 Aab e hayaat & Khud se kuda Tak Most selling urdu book,2 Ratings,"Rs. 1,639",Rs. 99,74%,93%,-34%,"Rs. 2,500",97%
Ghulam Abbas K Be-Masal Afsany,No Ratings,Rs. 700,Free,82%,100%,-53%,"Rs. 1,500",100%
Crime and Punishment by Fyodor Dostoyevsky,9 Ratings,Rs. 469,Free,87%,100%,-77%,"Rs. 1,999",100%
Ferhat Ishtiaq Urdu Reading Novel Jo Bache Haun Sang Sameet Lo,No Ratings,Rs. 898,Rs. 99,80%,100%,-50%,"Rs. 1,800",97%
Haasil by umera Ahmed,4 Ratings,Rs. 379,Rs. 99,80%,100%,-46%,Rs. 700,97%
The Off Limits Rule by Sarah Adams,No Ratings,Rs. 399,Free,81%,100%,-77%,"Rs. 1,699",100%
After the Prophet by Lesley Hazleton (Original),1 Ratings,Rs. 750,Free,94%,100%,Not Found,Not Found,100%
A Little Life by Hanya Yanagihara,No Ratings,Rs. 593,Free,87%,100%,-70%,"Rs. 1,999",100%
An Outline Of Philosophy Book by Bertrand Russell,2 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
Getting Over You leslie B,No Ratings,Rs. 285,Free,New Seller,100%,-71%,Rs. 999,83%
Wonder by RJ palacio,No Ratings,Rs. 499,Free,86%,100%,-58%,"Rs. 1,199",92%
"Fourth Wing (The Empyrean, #1) by Rebecca Yarros",2 Ratings,Rs. 494,Free,87%,100%,-75%,"Rs. 1,999",100%
Guftago Aur Taqreer Ka Fun Urdu Translation novel by Dale Carnegie Best selling urdu reading book,6 Ratings,Rs. 355,Free,89%,98%,-1%,Rs. 359,99%
Write Better Speak Better Novel,No Ratings,Rs. 599,Free,90%,90%,-54%,"Rs. 1,299",98%
The Psychology of Money in Urdu ( Paise ki Nafsiyat ),No Ratings,Rs. 749,Free,81%,44%,-63%,"Rs. 2,000",80%
Islam at War: A History by George F. Nafziger,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
Man Chale ka sooda book By Ashfaq Ahmed,No Ratings,Rs. 699,Rs. 99,80%,100%,-42%,"Rs. 1,200",97%
Books Set by Brianna Wiest,10 Ratings,Rs. 611,Free,87%,100%,-80%,"Rs. 2,999",100%
"Things I Wanted to Say, But Never Did by Monica Murphy",No Ratings,Rs. 399,Free,82%,100%,-60%,Rs. 999,91%
How to Talk to Anyone Book by Leil Lowndes,No Ratings,Rs. 449,Free,86%,100%,-50%,Rs. 899,92%
Harry Potter 1-3 Books Set: A Magical Adventure Begins Paperback by J K Rowling,1 Ratings,Rs. 950,Free,81%,100%,-76%,"Rs. 3,999",100%
The Witches Novel by Roald Dahl,1 Ratings,Rs. 345,Free,81%,100%,-65%,Rs. 995,100%
Peer e kamil and Hurf se lafz tak Pack of 2 best urdu books,1 Ratings,Rs. 839,Rs. 99,80%,100%,-58%,"Rs. 2,000",97%
Deewan e Galib By Mirza Asadullah Khan Galib,1 Ratings,Rs. 269,Rs. 99,80%,100%,-46%,Rs. 500,97%
Arthgul GaziBy Irfan Rame,No Ratings,Rs. 189,Rs. 99,80%,100%,-76%,Rs. 800,97%
Debt: The First 5000 Years Book by David Graeber,1 Ratings,Rs. 995,Free,86%,83%,-34%,"Rs. 1,500",95%
Beyond Good and Evil by Friedrich Nietzsche,1 Ratings,Rs. 375,Free,87%,100%,-79%,"Rs. 1,799",100%
The Haunting of Hill House by Shirley Jackson,7 Ratings,Rs. 477,Free,86%,83%,-1%,Rs. 482,95%
Aab e hayat Novel By Umera Ahmed / Umaira Ahmad / Umaira Ahmed,No Ratings,"Rs. 1,695",Free,82%,100%,-62%,"Rs. 4,500",91%
Verity Book by Colleen Hoover,21 Ratings,Rs. 324,Free,87%,100%,-67%,Rs. 995,100%
One Of Us Is Lying Novel By Karen M. Mc Manus,1 Ratings,Rs. 310,Rs. 99,New Seller,100%,-21%,Rs. 390,66%
Umera Ahmed Novel Peer e Kamil (Original And New),No Ratings,Rs. 599,Rs. 139,80%,100%,-60%,"Rs. 1,500",97%
Anne of Green Gables by L.M. Montgomery,No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
When Breath Becomes Air by Paul Kalanithi,1 Ratings,Rs. 405,Free,87%,100%,-80%,"Rs. 1,999",100%
Alif By Umera Ahmed,No Ratings,Rs. 789,Rs. 139,80%,100%,-47%,"Rs. 1,499",97%
Peer e Kamil By Umera Ahmed With Free Hurf Se Lafz Tak,3 Ratings,Rs. 849,Rs. 99,80%,100%,-58%,"Rs. 2,000",97%
Sapiens: A Brief History of Humankind Book by Yuval Noah Harari,No Ratings,Rs. 395,Free,83%,85%,-34%,Rs. 600,100%
Bikher e MOTi Book Complete best quality,1 Ratings,"Rs. 2,189",Rs. 99,80%,100%,-51%,"Rs. 4,500",97%
Never After Series by Emily Mcintire 1 to 5 Books,No Ratings,"Rs. 1,699",Free,87%,98%,-43%,"Rs. 3,000",85%
"5 lb. Book of GRE Practice Problems Problems on All Subjects, Includes 1,800 Test Questions and Drills, Online Study Guide and Lessons from Interact for GRE (Manhattan Prep 5 lb) Third Edition by Manhattan Prep (Author)",1 Ratings,"Rs. 3,099",Free,83%,85%,-23%,"Rs. 4,000",100%
Practice Makes Perfect: by Sarah Adams,No Ratings,Rs. 405,Free,87%,100%,-80%,"Rs. 1,999",100%
My Fault By Mercedes Ron,No Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Manuscript Found in Accra by Paulo Coelho,No Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
Cambridge Ielts General Training 16 Books set With CD ( 1 TO 16),No Ratings,"Rs. 2,499",Free,86%,100%,-75%,"Rs. 9,999",92%
the shadows between us,No Ratings,Rs. 386,Free,86%,100%,-70%,"Rs. 1,299",92%
Harf Se Lafz Tak Complete Novel By Umera Ahmed,7 Ratings,Rs. 281,Free,87%,100%,-30%,Rs. 399,100%
Man’s Search for Meaning Book,No Ratings,Rs. 275,Free,86%,100%,-72%,Rs. 999,92%
Focus_Book by Daniel Goleman,No Ratings,Rs. 295,Free,81%,100%,-70%,Rs. 995,100%
Pakistan A Hard Country Book by Anatol von Lieven,No Ratings,Rs. 450,Free,81%,100%,-77%,"Rs. 1,999",100%
Charlie and the Chocolate Factory By Roald Dahl,No Ratings,Rs. 399,Free,87%,100%,-78%,"Rs. 1,799",100%
The Alchemist By Paulo Coelho,1 Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
AND THEN THERE WERE NONE,No Ratings,Rs. 289,Free,New Seller,100%,-52%,Rs. 599,83%
Reclaim Your Heart by Yasmin Mogahed ( Novel ),1 Ratings,Rs. 299,Free,82%,100%,-70%,Rs. 999,91%
Aabe Hayaat And Arth gul Gaze Best Selling Urdu Reading Book,No Ratings,Rs. 998,Rs. 99,80%,100%,-45%,"Rs. 1,800",97%
Harry Potter and the Order of the Phoenix by J K. Rowling,No Ratings,Rs. 599,Free,81%,100%,-70%,"Rs. 1,999",100%
ENGLISH NOVEL :: THINK AGAIN,No Ratings,Rs. 386,Free,86%,100%,-57%,Rs. 899,92%
Pakistan At the Helm by Tilak Devasher,1 Ratings,Rs. 315,Free,87%,100%,-81%,"Rs. 1,699",100%
The Ministry of Utmost Happiness Novel by Arundhati Roy,11 Ratings,Rs. 281,Free,87%,100%,-72%,Rs. 995,100%
the daughter of the east,1 Ratings,Rs. 450,Free,New Seller,100%,-44%,Rs. 800,100%
Regretting You by Colleen Hoover,No Ratings,Rs. 350,Free,87%,100%,-79%,"Rs. 1,699",100%
Mata e jaan he to novel by Ferhat ishtiaq most selling Urdu novel,2 Ratings,Rs. 699,Rs. 139,80%,100%,-50%,"Rs. 1,399",97%
No Longer Human by Osamu Dazai,1 Ratings,Rs. 289,Free,90%,90%,-71%,Rs. 999,98%
Allah_Loves by Omar Suleiman,No Ratings,Rs. 350,Free,81%,100%,-79%,"Rs. 1,699",100%
Pack Of 3 Peer e Kamil Aab e Hayat Hurf Se Lafz Tak Best urdu Reading Book,1 Ratings,"Rs. 1,689",Rs. 159,74%,93%,-44%,"Rs. 3,000",97%
CLOSER TO LOVE/THE FORTY RULESE OF LOVE SET OF 2 BOOKS,No Ratings,Rs. 599,Free,90%,90%,-70%,"Rs. 1,999",98%
Building a Second Brain: A Proven Method to Organize Your Digital Life and Unlock Your Creative Potential by Tiago Forte,2 Ratings,Rs. 595,Free,83%,85%,-40%,"Rs. 1,000",100%
Dozakhnama Novel by Rabisankar Bal,No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
The Girls Who Disappeared By Claire Douglas,No Ratings,Rs. 423,Free,87%,100%,-79%,"Rs. 1,999",100%
Mushaf Novel by Nimra Ahmed,No Ratings,Rs. 398,Rs. 99,74%,93%,-60%,Rs. 999,97%
"The Bomber_Mafia: A Dream, a Temptation, and the Longest Night of the Second World War By Malcolm Gladwell",No Ratings,Rs. 399,Free,81%,100%,-78%,"Rs. 1,799",100%
Before the Coffee Gets Cold By Toshikazu Kawaguchi,1 Ratings,Rs. 405,Free,87%,100%,-77%,"Rs. 1,799",100%
101 Chess Opening Traps book By Steve Giddin,No Ratings,Rs. 545,Free,86%,83%,-46%,"Rs. 1,000",95%
Combo Set (Who Moved My Cheese & Think and Grow Rich),No Ratings,Rs. 599,Free,90%,90%,-70%,"Rs. 1,999",98%
FAKEE Book by Robert Kiyosaki,No Ratings,Rs. 299,Free,86%,100%,-50%,Rs. 599,92%
Rock Paper Scissors by Alice Feeney,3 Ratings,Rs. 450,Free,86%,100%,-77%,"Rs. 1,999",100%
Twisted Love : : An Intense Romantic Novel by the Sensational Writer Ana Huang Good Quality Paper Premium Quality Paperback Title,No Ratings,Rs. 325,Free,90%,90%,-67%,Rs. 999,98%
"The Book of Rumi 105 Stories and Fables that Illumine, Delight, and Inform by Rumi",17 Ratings,Rs. 277,Free,87%,100%,-72%,Rs. 995,100%
Haraf Haraf Haqeeqat Book in Urdu By Wasif Ali Wasif best Book,No Ratings,Rs. 490,Free,94%,100%,-30%,Rs. 700,100%
